ID,CustomerLocationId,MarketplaceDistributorId,Code,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser
1,1,1,Logistic code 1.1.1,"December 18, 2024, 11:48 AM","December 18, 2024, 11:48 AM",false,"January 1, 2000, 12:00 AM",
3,14,1,12345,"January 9, 2025, 8:54 PM","January 9, 2025, 8:54 PM",,"January 1, 2000, 12:00 AM",
5,12,1,string,"January 9, 2025, 10:03 PM","January 9, 2025, 10:03 PM",false,"January 1, 2000, 12:00 AM",
6,12,1,string,"January 9, 2025, 10:03 PM","January 9, 2025, 10:03 PM",false,"January 1, 2000, 12:00 AM",
7,12,1,string,"January 9, 2025, 10:05 PM","January 9, 2025, 10:05 PM",false,"January 1, 2000, 12:00 AM",
8,12,1,string,"January 9, 2025, 10:05 PM","January 9, 2025, 10:05 PM",false,"January 1, 2000, 12:00 AM",
9,12,1,string,"January 9, 2025, 10:05 PM","January 9, 2025, 10:05 PM",false,"January 1, 2000, 12:00 AM",
10,14,1,Test 1.2.3.4.5,"January 9, 2025, 10:30 PM","January 9, 2025, 10:30 PM",,"January 1, 2000, 12:00 AM",
11,14,1,Test 1234,"January 9, 2025, 10:50 PM","January 9, 2025, 10:50 PM",,"January 1, 2000, 12:00 AM",
12,14,1,Test 12345,"January 9, 2025, 10:51 PM","January 9, 2025, 10:51 PM",,"January 1, 2000, 12:00 AM",
15,16,1,Test 12345,"January 9, 2025, 11:37 PM","January 9, 2025, 11:37 PM",true,"January 10, 2025, 3:09 AM",
14,14,1,Test 1.2.3.4.5,"January 9, 2025, 10:54 PM","January 9, 2025, 10:54 PM",true,"January 10, 2025, 5:28 PM",
13,14,1,Test 12314,"January 9, 2025, 10:53 PM","January 9, 2025, 10:53 PM",true,"January 10, 2025, 5:51 PM",
16,14,1,Proveedor de prueba 1.1.1,"January 10, 2025, 5:52 PM","January 10, 2025, 5:52 PM",,"January 1, 2000, 12:00 AM",
17,14,1,Proveedor de prueba 1.1.1,"January 10, 2025, 5:52 PM","January 10, 2025, 5:52 PM",,"January 1, 2000, 12:00 AM",
19,14,1,Proveedor de prueba 2 1.1.1,"January 10, 2025, 5:53 PM","January 10, 2025, 5:53 PM",,"January 1, 2000, 12:00 AM",
20,14,1,Proveedor de prueba 3 1.1.1,"January 10, 2025, 5:54 PM","January 10, 2025, 5:54 PM",,"January 1, 2000, 12:00 AM",
21,14,1,Proveedor de prueba 4 1.1.1,"January 10, 2025, 5:55 PM","January 10, 2025, 5:55 PM",,"January 1, 2000, 12:00 AM",
60,67,4,1234,"January 29, 2025, 7:49 PM","January 29, 2025, 7:49 PM",,"January 1, 2000, 12:00 AM",
4,14,1,12345,"January 9, 2025, 8:54 PM","January 9, 2025, 8:54 PM",true,"January 15, 2025, 5:37 PM",
38,38,4,Test 1,"January 15, 2025, 5:18 PM","January 15, 2025, 5:18 PM",true,"January 15, 2025, 6:38 PM",
39,38,4,Test 2,"January 15, 2025, 5:36 PM","January 15, 2025, 5:36 PM",true,"January 15, 2025, 6:38 PM",
41,38,4,Test 2,"January 15, 2025, 6:44 PM","January 15, 2025, 6:44 PM",true,"January 15, 2025, 6:46 PM",
71,16,4,1234,"February 18, 2025, 8:23 PM","February 18, 2025, 8:23 PM",,"January 1, 2000, 12:00 AM",
18,14,1,Proveedor de prueba 6 1.1.1,"January 10, 2025, 5:53 PM","January 10, 2025, 8:10 PM",true,"January 10, 2025, 8:10 PM",
22,14,1,Proveedor de prueba 6 1.1.1,"January 10, 2025, 8:15 PM","January 10, 2025, 8:15 PM",true,"January 10, 2025, 8:15 PM",
43,43,4,8585,"January 16, 2025, 12:32 PM","January 16, 2025, 12:32 PM",,"January 1, 2000, 12:00 AM",
23,19,1,Proveedor de prueba 2,"January 10, 2025, 8:17 PM","January 10, 2025, 8:17 PM",true,"January 10, 2025, 8:17 PM",
24,14,1,Nombre 1234,"January 10, 2025, 8:19 PM","January 10, 2025, 8:19 PM",true,"January 10, 2025, 8:19 PM",
25,29,1,Codigo Proveedor 1,"January 10, 2025, 10:09 PM","January 10, 2025, 10:09 PM",,"January 1, 2000, 12:00 AM",
26,29,1,Codigo Proveedor 2,"January 10, 2025, 10:20 PM","January 10, 2025, 10:20 PM",,"January 1, 2000, 12:00 AM",
44,47,4,1,"January 22, 2025, 6:23 PM","January 22, 2025, 6:24 PM",,"January 1, 2000, 12:00 AM",
