ID,Name,MarketplaceId,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser,SyncHealthStatus,OrderHookCheckStock
2,Distributor 3,1,"December 19, 2024, 2:27 PM","December 19, 2024, 2:27 PM",true,"December 19, 2024, 2:27 PM",,green,
3,Marketplace distributor 52,3,"December 26, 2024, 6:04 PM","December 26, 2024, 6:43 PM",,"January 1, 2000, 12:00 AM",,green,
5,Distribuidor 499,3,"January 2, 2025, 3:42 PM","January 2, 2025, 3:42 PM",,"January 1, 2000, 12:00 AM",,green,
1,Marketplace Distributor 1.1,3,"December 13, 2024, 1:10 PM","January 2, 2025, 3:43 PM",,"January 1, 2000, 12:00 AM",,green,
6,Distributor 3,3,"January 6, 2025, 7:21 PM","January 6, 2025, 7:21 PM",,"January 1, 2000, 12:00 AM",,green,
8,TiendanubeProvider,5,"March 13, 2025, 1:01 PM","March 13, 2025, 1:01 PM",,"January 1, 2000, 12:00 AM",,green,
10,Acofar,1,"March 13, 2025, 6:18 PM","March 13, 2025, 6:18 PM",,"January 1, 2000, 12:00 AM",,green,
4,Distribuidor demo,1,"January 2, 2025, 2:19 PM","January 2, 2025, 2:19 PM",true,"March 13, 2025, 6:21 PM",,green,
21,Cofaral,1,"April 14, 2025, 6:55 PM","April 14, 2025, 6:55 PM",,"January 1, 2000, 12:00 AM",,green,
24,Suiza Maglione,1,"April 29, 2025, 6:43 PM","April 29, 2025, 6:43 PM",,"January 1, 2000, 12:00 AM",,green,
25,Nippon,1,"May 6, 2025, 1:19 PM","May 6, 2025, 1:19 PM",,"January 1, 2000, 12:00 AM",,green,
29,Cofarmen QA,1,"May 9, 2025, 5:41 PM","May 9, 2025, 5:41 PM",true,"May 9, 2025, 5:41 PM",,green,
28,Cofarmen QA,9,"May 9, 2025, 5:38 PM","May 9, 2025, 5:38 PM",true,"May 9, 2025, 5:45 PM",,green,
32,Drogueria Sur,1,"May 16, 2025, 3:15 PM","May 16, 2025, 3:15 PM",,"January 1, 2000, 12:00 AM",,green,
14,Nippon QA,9,"April 14, 2025, 6:40 PM","June 4, 2025, 1:40 PM",,"January 1, 2000, 12:00 AM",,green,
