ID,ErpOrderId,OriginOrderId,OriginSystemCode,ConfirmedByUserId,CustomerLocationId,SalesPersonId,State,ErpState,MarketplaceId,MarketplaceDistributorId,OrderDate,DeliveryDate,ErpLastModified,TotalGrossPrice,TotalDiscountPercentage ($),TotalTaxes,TotalFinalPrice,OrderLevelTaxesJson,PaymentMethodId,Observations,ExtraData,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser,AppliedCoupons
7884,,20250625_213429#b71956af-affc-456e-93c1-8947595a53bd,AXUM,,6856,235,NUEVO,NUEVO,7,,"June 25, 2025, 9:34 PM",,,"54,528.77",0.00,"9,463.67","54,528.77",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-06-25T21:34:43"",""operation"":1}","June 25, 2025, 9:48 PM","June 25, 2025, 9:48 PM",,"January 1, 2000, 12:00 AM",,[]
7909,,20250701_205147#a0e9fff4-6683-4a95-bc5f-99ae9b1679e1,AXUM,,6856,235,NUEVO,NUEVO,7,,"July 1, 2025, 8:51 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-01T20:51:54"",""operation"":1}","July 1, 2025, 10:33 PM","July 1, 2025, 10:33 PM",,"January 1, 2000, 12:00 AM",,[]
7934,,20250702_233954#40a30c12-dd81-45de-b4a6-429ed65d06e7,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 2, 2025, 11:39 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":true,""checkOutDateTime"":""2025-07-02T23:42:21.89Z"",""operation"":1}","July 2, 2025, 11:44 PM","July 2, 2025, 11:44 PM",,"January 1, 2000, 12:00 AM",,[]
7954,,20250703_194549#a5d07a08-982f-47cc-8351-c2cc34cb96db,AXUM,,6856,235,NUEVO,NUEVO,7,,"July 3, 2025, 7:45 PM",,,"22,972.38",0.00,"3,986.94","22,972.38",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T19:45:49"",""operation"":1}","July 3, 2025, 8:08 PM","July 3, 2025, 8:08 PM",,"January 1, 2000, 12:00 AM",,[]
36168,194446,194446,CB PHARMEXX,,88566,,FINALIZADO,IMPORTED,1,11,"July 22, 2025, 12:00 AM",,,"1,074,285.34",0.00,0,"84,038,656",[],,Zona Vital Pilar,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36169,194445,194445,CB PHARMEXX,,81946,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"11,057.22",0.00,0,"718,719",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36170,194444,194444,CB PHARMEXX,,83898,,FINALIZADO,IMPORTED,1,22,"July 22, 2025, 12:00 AM",,,"542,554.04",0.00,0,"48,550,979",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36171,194443,194443,CB PHARMEXX,,83228,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"185,871.96",0.00,0,"15,464,520",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36172,194441,194441,CB PHARMEXX,,90564,,ENVIADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"45,378.39",0.00,0,"3,866,861",[],,Polaquito sud,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
7826,,7826,CompraBeauty,124,10333,,FINALIZADO,,1,32,"June 5, 2025, 4:17 PM",,,"31,238.16",26.87,"4,797.22","27,641.13",[],,,,"June 5, 2025, 4:14 PM","June 5, 2025, 4:14 PM",,"January 1, 2000, 12:00 AM",,[]
2,,0,,,67,,BORRADOR,,9,,"January 30, 2025, 4:35 PM",,,0,0.00,0,0,[],,,,"January 30, 2025, 4:35 PM","January 30, 2025, 4:35 PM",,"January 1, 2000, 12:00 AM",,[]
81934,,81934,CompraBeauty,83367,100908,,FINALIZADO,,1,10,"November 20, 2025, 9:51 PM",,,"24,466.61",0.00,"5,137.99","29,604.6",[],,,,"November 20, 2025, 8:57 PM","November 20, 2025, 8:57 PM",,"January 1, 2000, 12:00 AM",,[]
36173,194440,194440,CB PHARMEXX,,88038,,FINALIZADO,IMPORTED,1,11,"July 22, 2025, 12:00 AM",,,"101,460.24",0.00,0,"8,116,818",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36174,194439,194439,CB PHARMEXX,,88561,,FINALIZADO,IMPORTED,1,34,"July 22, 2025, 12:00 AM",,,"36,144.12",0.00,0,"2,349,368",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
7843,,7843,CB QA,1,163,,CANCELADO,,9,23,"June 13, 2025, 11:23 AM",,,"10,912.56",12.88,"1,996.45","11,503.36",[],,,,"June 9, 2025, 3:52 PM","June 9, 2025, 3:52 PM",,"January 1, 2000, 12:00 AM",,[300]
36175,194438,194438,CB PHARMEXX,,88472,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"58,097.08",0.00,0,"5,432,181",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
7876,,7876,CB QA,116,10319,,CANCELADO,,9,26,"June 25, 2025, 11:51 AM",,,"178,067.04",27.17,"27,235.46","156,928.15",[],,,,"June 25, 2025, 11:47 AM","June 25, 2025, 11:47 AM",,"January 1, 2000, 12:00 AM",,[]
7978,,7978,CompraBeauty,,10353,300,FINALIZADO,,1,36,"July 7, 2025, 4:22 PM",,,"17,693.46",29.75,"2,610.19","15,039.69",[],,,,"July 7, 2025, 4:11 PM","July 7, 2025, 4:11 PM",,"January 1, 2000, 12:00 AM",,[181]
7990,,20250721_184735#be7adbd6-9069-4e2d-90c0-71e5422f17dd,AXUM,,6207,288,NUEVO,NUEVO,8,,"July 21, 2025, 6:47 PM",,,"42,162.69",0.00,"7,317.49","42,162.69",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-21T18:47:44"",""operation"":1}","July 21, 2025, 6:51 PM","July 21, 2025, 6:51 PM",,"January 1, 2000, 12:00 AM",,[]
8001,,20250721_221721#783a2253-d564-4172-8858-e6353cee75b0,AXUM,,8948,235,NUEVO,NUEVO,7,,"July 21, 2025, 10:17 PM",,,"22,891.76",0.00,"4,207.59","22,891.76",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-21T22:17:21"",""operation"":1}","July 21, 2025, 10:23 PM","July 21, 2025, 10:23 PM",,"January 1, 2000, 12:00 AM",,[]
36176,194437,194437,CB PHARMEXX,,88038,,FINALIZADO,IMPORTED,1,11,"July 22, 2025, 12:00 AM",,,"204,875.46",0.00,0,"10,243,773",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
