grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0001,50,1,DOMINIO_CORPORATIVO,BAJA,True,22,1,184,39,4
CORP_0002,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0003,32,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,60,19,3
CORP_0004,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0005,5,1,DOMINIO_CORPORATIVO,BAJA,True,1,1,1,1,1
CORP_0006,24,1,DOMINIO_CORPORATIVO,BAJA,True,12,1,200,24,1
CORP_0007,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0008,8,1,DOMINIO_CORPORATIVO,BAJA,True,5,1,39,8,2
CORP_0009,58,1,DOMINIO_CORPORATIVO,BAJA,True,29,1,214,25,2
CORP_0010,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0011,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,35,4,2
CORP_0012,871,1,DOMINIO_CORPORATIVO,BAJA,True,443,1,1959,237,4
CORP_0013,117,1,DOMINIO_CORPORATIVO,BAJA,True,64,1,106,20,2
CORP_0014,20,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,15,2,1
CORP_0015,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0016,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0017,5,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,65,5,3
CORP_0018,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0019,18,1,DOMINIO_CORPORATIVO,BAJA,True,5,1,60,12,1
CORP_0020,6,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,101,6,1
CORP_0021,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0022,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,24,3,2
CORP_0023,7,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,6,4,2
CORP_0024,23,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,186,19,4
CORP_0025,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0026,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0027,12,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,28,10,2
CORP_0028,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0029,204,1,DOMINIO_CORPORATIVO,BAJA,True,105,1,364,61,3
CORP_0030,84,1,DOMINIO_CORPORATIVO,BAJA,True,42,1,186,28,2
CORP_0031,18,1,DOMINIO_CORPORATIVO,BAJA,True,9,1,760,27,2
CORP_0032,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,4,2,2
